2025-10-12 19:54:16 - Purchase completed: {"transaction_id":"ORDER_ZL0VPJQSL","payment_method":"upi","amount":1532.82,"product_name":"Premium Wireless Headphones","merchant_name":"TechStore India","status":"completed","timestamp":"2025-10-12 19:54:16","created_at":"2025-10-12 19:54:16"}
2025-10-12 19:59:13 - Purchase completed: {"transaction_id":"ORDER_ZJ88MYEHJ","payment_method":"card","amount":2596,"product_name":"Pro Plan","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-12 19:59:13","created_at":"2025-10-12 19:59:13"}
2025-10-12 20:02:05 - Purchase completed: {"transaction_id":"ORDER_5JL9JWHAA","payment_method":"card","amount":2596,"product_name":"Pro Plan","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-12 20:02:05","created_at":"2025-10-12 20:02:05"}
2025-10-12 20:05:18 - Purchase completed: {"transaction_id":"ORDER_6Q9YZAG5F","payment_method":"card","amount":236,"product_name":"Basic Plan","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-12 20:05:18","created_at":"2025-10-12 20:05:18"}
2025-10-12 20:06:05 - Purchase completed: {"transaction_id":"ORDER_DRQ3L7G9Y","payment_method":"card","amount":236,"product_name":"Basic Plan","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-12 20:06:05","created_at":"2025-10-12 20:06:05"}
2025-10-12 20:07:58 - Purchase completed: {"transaction_id":"ORDER_JS6CI5I05","payment_method":"card","amount":2596,"product_name":"Pro Plan","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-12 20:07:58","created_at":"2025-10-12 20:07:58"}
2025-10-12 20:11:17 - Purchase completed: {"transaction_id":"ORDER_1O7DKQDMW","payment_method":"card","amount":11800,"product_name":"Add Funds to Card","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-12 20:11:17","created_at":"2025-10-12 20:11:17"}
2025-10-12 20:15:03 - Purchase completed: {"transaction_id":"ORDER_PFC3USOP1","payment_method":"card","amount":5900,"product_name":"Add Funds to Card","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-12 20:15:03","created_at":"2025-10-12 20:15:03"}
2025-10-12 20:17:33 - Purchase completed: {"transaction_id":"ORDER_NXUBS04HF","payment_method":"card","amount":2360,"product_name":"Add Funds to Card","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-12 20:17:33","created_at":"2025-10-12 20:17:33"}
2025-10-12 21:02:44 - Purchase completed: {"transaction_id":"ORDER_180D8MR9L","payment_method":"card","amount":236,"product_name":"Basic Plan","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-12 21:02:44","created_at":"2025-10-12 21:02:44"}
2025-10-12 21:14:03 - Purchase completed: {"transaction_id":"ORDER_Q73YBITUM","payment_method":"card","amount":5900,"product_name":"Add Funds to Card","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-12 21:14:03","created_at":"2025-10-12 21:14:03"}
2025-10-12 21:32:23 - Purchase completed: {"transaction_id":"ORDER_GYL7718QT","payment_method":"card","amount":44840,"product_name":"Add Funds to Card","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-12 21:32:23","created_at":"2025-10-12 21:32:23"}
2025-10-13 05:22:37 - Purchase completed: {"transaction_id":"ORDER_UGHT113W5","payment_method":"card","amount":236,"product_name":"Basic Plan","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-13 05:22:37","created_at":"2025-10-13 05:22:37"}
2025-10-13 05:23:18 - Purchase completed: {"transaction_id":"ORDER_O1S8XMGOH","payment_method":"card","amount":11800,"product_name":"Add Funds to Card","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-13 05:23:18","created_at":"2025-10-13 05:23:18"}
2025-10-13 05:26:41 - Purchase completed: {"transaction_id":"ORDER_H44GAE3PR","payment_method":"card","amount":2596,"product_name":"Pro Plan","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-13 05:26:41","created_at":"2025-10-13 05:26:41"}
2025-10-13 05:27:48 - Purchase completed: {"transaction_id":"ORDER_J5FSPXOHL","payment_method":"card","amount":11800,"product_name":"Add Funds to Card","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-13 05:27:48","created_at":"2025-10-13 05:27:48"}
2025-10-13 05:43:18 - Purchase completed: {"transaction_id":"ORDER_5LLQM4EBR","payment_method":"card","amount":236,"product_name":"Add Funds to Card","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-13 05:43:18","created_at":"2025-10-13 05:43:18"}
2025-10-13 05:43:55 - Purchase completed: {"transaction_id":"ORDER_4Z2W9MYCF","payment_method":"card","amount":2360,"product_name":"Add Funds to Card","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-13 05:43:55","created_at":"2025-10-13 05:43:55"}
2025-10-13 05:46:52 - Purchase completed: {"transaction_id":"ORDER_L6MODNMGA","payment_method":"card","amount":1180,"product_name":"Add Funds to Card","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-13 05:46:52","created_at":"2025-10-13 05:46:52"}
2025-10-13 05:50:30 - Purchase completed: {"transaction_id":"ORDER_R8IUZL8MT","payment_method":"card","amount":1180,"product_name":"Add Funds to Card","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-13 05:50:30","created_at":"2025-10-13 05:50:30"}
2025-10-13 05:54:53 - Purchase completed: {"transaction_id":"ORDER_64F1PS036","payment_method":"card","amount":1180,"product_name":"Add Funds to Card","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-13 05:54:53","created_at":"2025-10-13 05:54:53"}
2025-10-13 05:58:03 - Purchase completed: {"transaction_id":"ORDER_BLIRZP09O","payment_method":"card","amount":1180,"product_name":"Add Funds to Card","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-13 05:58:03","created_at":"2025-10-13 05:58:03"}
2025-10-13 05:58:37 - Purchase completed: {"transaction_id":"ORDER_1ZNFRR2MF","payment_method":"card","amount":118,"product_name":"Add Funds to Card","merchant_name":"ShadowPay","status":"completed","timestamp":"2025-10-13 05:58:37","created_at":"2025-10-13 05:58:37"}
